title,year,authors,journal,categories
Network Intrusion Detection through Stacking Dilated Convolutional Autoencoders,2017,"Yang Yu, Jun Long, Zhiping Cai",Security and Communication Networks,convolutional neural network
Network anomaly detection with the restricted Boltzmann machine,2013,"Ugo Fiore, Francesco Palmieri, Aniello Castiglione, Alfredo De Santis",Neurocomputing,restricted boltzmann machine
Hybrid intelligent intrusion detection scheme,2011,"Mostafa A. Salama, Heba F. Eid, Rabie A. Ramadan, Ashraf Darwish, Aboul Ella Hassanien",Advances in Intelligent and Soft Computing,restricted boltzmann machine
Toward an Online Anomaly Intrusion Detection System Based on Deep Learning,2016,"Khaled Alrawashdeh, Carla Purdy",2016 15th IEEE International Conference on Machine Learning and Applications ,restricted boltzmann machine
An evaluation of the performance of Restricted Boltzmann Machines as a model for anomaly network intrusion detection,2018,"Tamer Aldwairi, Dilina Perera, Mark A. Novotny",Computer Networks,restricted boltzmann machine
An Intrusion Detection Model Based on Deep Belief Networks,2014,"Ni Gao, Ling Gao, Quanli Gao, Hai Wang",2014 Second International Conference on Advanced Cloud and Big Data,restricted boltzmann machine
Intrusion detection using deep belief networks,2015,"Md Zahangir Alom, Venkataramesh Bontupalli, Tarek M. Taha",2015 National Aerospace and Electronics Conference ,restricted boltzmann machine
Improved traffic detection with support vector machine based on restricted Boltzmann machine,2017,"Jun Yang, Jiangdong Deng, Shujuan Li, Yongle Hao",Soft Computing,restricted boltzmann machine
On the Feasibility of Deep Learning in Sensor Network Intrusion Detection,2019,"Safa Otoum, Burak Kantarci, Hussein T. Mouftah",IEEE Networking Letters,restricted boltzmann machine
An intrusion detection system for connected vehicles in smart cities,2019,"Moayad Aloqaily, Safa Otoum, Ismaeel Al Ridhawi, Yaser Jararweh",Ad Hoc Networks,restricted boltzmann machine
A Deep and Scalable Unsupervised Machine Learning System for Cyber-Attack Detection in Large-Scale Smart Grids,2019,"Hadis Karimipour, Ali Dehghantanha, Reza M. Parizi, Kim Kwang Raymond Choo, Henry Leung",IEEE Access,restricted boltzmann machine
Towards Deep-Learning-Driven Intrusion Detection for the Internet of Things,2019,"Geethapriya Thamilarasu, Shiven Chawla",Sensors 2019,deep belief network
Intrusion Detection for IoT Based on Improved Genetic Algorithm and Deep Belief Network,2019,"Ying Zhang, Peisong Li, Xinheng Wang",IEEE Access,restricted boltzmann machine
Real-Time Detection of False Data Injection Attacks in Smart Grid: A Deep Learning-Based Intelligent Mechanism,2017,"Youbiao He, Gihan J. Mendis, Jin Wei",IEEE Transactions on Smart Grid,restricted boltzmann machine
A Deep Learning Approach to Network Intrusion Detection,2018,"Nathan Shone, Tran Nguyen Ngoc, Vu Dinh Phai, Qi Shi",IEEE Transactions on Emerging Topics in Computational Intelligence,deep auto-encoder
TSDL: A Two-Stage Deep Learning Model for Efficient Network Intrusion Detection,2019,"Farrukh Aslam Khan, Abdu Gumaei, Abdelouahid Derhab, Amir Hussain",IEEE Access,deep auto-encoder
Introducing Deep Learning Self-Adaptive Misuse Network Intrusion Detection Systems,2019,"Dimitrios Papamartzivanos, Felix Gomez Marmol, Georgios Kambourakis",IEEE Access,deep auto-encoder
Improving the Classification Effectiveness of Intrusion Detection by Using Improved Conditional Variational AutoEncoder and Deep Neural Network,2019,"Yanqing Yang, Kangfeng Zheng, Chunhua Wu, Yixian Yang",Sensors 2019,deep auto-encoder
A deep learning approach for proactive multi-cloud cooperative intrusion detection system,2019,"Adel Abusitta, Martine Bellaiche, Michel Dagenais, Talal Halabi",Future Generation Computer Systems,deep auto-encoder
IoT data feature extraction and intrusion detection system for smart cities based on deep migration learning,2019,"Daming Li, Lianbing Deng, Minchang Lee, Haoxiang Wang",International Journal of Information Management,deep migration learning
A deep learning approach for network intrusion detection system,2015,"Quamar Niyaz, Weiqing Sun, Ahmad Y. Javaid, Mansoor Alam",EAI International Conference on Bio-inspired Information and Communications Technologies,self-taught learning
Analyzing flow-based anomaly intrusion detection using Replicator Neural Networks,2016,"Carlos Garcia Cordero, Sascha Hauke, Max Muhlhauser, Mathias Fischer",2016 14th Annual Conference on Privacy,replicator neural network
